                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.70179,                0.53945,                 1.9152,                0.90148,                0.85891,                0.91259,                0.81464,                0.65104,                0.88058,                 1.8016,              0.0082887,              0.0082887,              0.0082887
                    123,                0.71454,                0.55025,                 1.9193,                0.90099,                0.86179,                0.91256,                  0.814,                0.65073,                0.88331,                  1.801,              0.0082746,              0.0082746,              0.0082746
                    124,                0.70191,                0.54434,                 1.9058,                0.90324,                0.85729,                0.91328,                0.81467,                 0.6502,                 0.8809,                 1.8013,              0.0082604,              0.0082604,              0.0082604
                    125,                0.70509,                0.54706,                 1.9106,                0.90492,                0.85328,                 0.9131,                0.81521,                0.64945,                0.89253,                  1.801,              0.0082463,              0.0082463,              0.0082463
                    126,                0.70541,                 0.5455,                 1.9228,                 0.9044,                0.85136,                0.91273,                0.81505,                0.64978,                0.89352,                  1.801,              0.0082321,              0.0082321,              0.0082321
                    127,                0.70325,                0.54455,                  1.913,                0.89292,                0.86322,                0.91278,                0.81532,                0.64865,                0.88893,                 1.8001,               0.008218,               0.008218,               0.008218
                    128,                 0.6998,                0.54134,                 1.9064,                0.89146,                0.86388,                0.91278,                0.81593,                0.64776,                0.88948,                 1.7993,              0.0082039,              0.0082039,              0.0082039
                    129,                 0.7002,                0.54172,                 1.9104,                0.89182,                0.86441,                0.91235,                0.81492,                0.64729,                0.88492,                 1.7995,              0.0081897,              0.0081897,              0.0081897
                    130,                 0.6919,                0.53742,                 1.9081,                0.89598,                0.86155,                0.91249,                0.81517,                 0.6477,                0.88618,                 1.7998,              0.0081756,              0.0081756,              0.0081756
                    131,                0.69665,                0.53601,                 1.9169,                0.89974,                0.85905,                0.91239,                0.81585,                 0.6481,                0.88404,                 1.8005,              0.0081614,              0.0081614,              0.0081614
                    132,                0.69472,                0.54145,                 1.9128,                 0.8998,                0.85951,                0.91258,                0.81606,                 0.6482,                0.87824,                 1.8003,              0.0081473,              0.0081473,              0.0081473
                    133,                0.70909,                0.55508,                 1.9198,                 0.8989,                0.86103,                0.91267,                0.81604,                0.64804,                0.87434,                    1.8,              0.0081331,              0.0081331,              0.0081331
